Tipo variazione;Istat vecchio;Denominazione Comune;Istat nuovo;Denominazione Comune associata alla variazione o nuova denominazione
AP;092035;Lunamatrona;106010;
AP;092045;Pabillonis;106011;
AP;092046;Pauli Arbarei;106012;
AP;092052;Samassi;106013;
AP;092055;San Gavino Monreale;106014;
AP;092057;Sanluri;106015;
AP;092065;Sardara;106016;
AP;092067;Segariu;106017;
AP;092072;Serramanna;106018;
AP;092073;Serrenti;106019;
AP;092076;Setzu;106020;
AP;092077;Siddi;106021;
AP;092086;Tuili;106022;
AP;092087;Turri;106023;
AP;092089;Ussaramanna;106024;
AP;092092;Villacidro;106025;
AP;092093;Villamar;106026;
AP;092095;Villanovaforru;106027;
AP;092096;Villanovafranca;106028;
AP;092007;Buggerru;107001;
AP;092010;Calasetta;107002;
AP;092012;Carbonia;107003;
AP;092013;Carloforte;107004;
AP;092019;Domusnovas;107005;
AP;092021;Fluminimaggiore;107006;
AP;092026;Giba;107007;
AP;092028;Gonnesa;107008;
AP;092033;Iglesias;107009;
AP;092103;Masainas;107010;
AP;092040;Musei;107011;
AP;092041;Narcao;107012;
AP;092043;Nuxis;107013;
AP;092047;Perdaxius;107014;
AP;092107;Piscinas;107015;
AP;092049;Portoscuso;107016;
AP;092056;San Giovanni Suergiu;107017;
AP;092060;Santadi;107018;
AP;092062;Sant'Anna Arresi;107019;
AP;092063;Sant'Antioco;107020;
AP;092085;Tratalias;107021;
AP;092094;Villamassargia;107022;
AP;092104;Villaperuccio;107023;
AP;091020;Escalaplano;092110;
AP;091013;Bosa;095079;
AP;091023;Flussio;095080;
AP;091036;Laconi;095082;
AP;091045;Magomadas;095083;
AP;091048;Modolo;095084;
AP;091075;Sagama;095086;
AP;091087;Suni;095087;
AP;091092;Tinnura;095088;
AP;090081;Badesi;104005;
AP;091021;Escolca;092111;
AP;091022;Esterzili;092112;
AP;091029;Genoni;095081;
AP;091030;Gergei;092113;
AP;091034;Isili;092114;
AP;091049;Montresta;095085;
AP;091052;Nuragus;092115;
AP;091053;Nurallao;092116;
AP;091054;Nurri;092117;
AP;091065;Orroli;092118;
AP;091074;Sadali;092119;
AP;091082;Seulo;092121;
AP;091080;Serri;092120;
AP;091102;Villanova Tulo;092122;
CE;030117;Campolongo al Torre;030115;Tapogliano
AQ;030115;Tapogliano;030117;Campolongo al Torre
CE;073023;Roccaforzata;073027;Taranto
AQ;073023;Roccaforzata;073027;Taranto
CE;073027;Taranto;073023;Roccaforzata
AQ;073027;Taranto;073023;Roccaforzata
CE;016086;Costa Volpino;016128;Lovere
AQ;016128;Lovere;016086;Costa Volpino
CE;018011;Bastida Pancarana;018038;Castelletto di Branduzzo
AQ;018011;Bastida Pancarana;018038;Castelletto di Branduzzo
CE;018038;Castelletto di Branduzzo;018011;Bastida Pancarana
AQ;018038;Castelletto di Branduzzo;018011;Bastida Pancarana
CE;068028;Pescara;068041;Spoltore
AQ;068041;Spoltore;068028;Pescara
CE;030011;Bicinicco;030062;Mortegliano
AQ;030011;Bicinicco;030062;Mortegliano
CE;030011;Bicinicco;030074;Pavia di Udine
AQ;030011;Bicinicco;030074;Pavia di Udine
CE;030062;Mortegliano;030011;Bicinicco
AQ;030062;Mortegliano;030011;Bicinicco
CE;030062;Mortegliano;030074;Pavia di Udine
AQ;030062;Mortegliano;030074;Pavia di Udine
CE;030074;Pavia di Udine;030011;Bicinicco
AQ;030074;Pavia di Udine;030011;Bicinicco
CE;030074;Pavia di Udine;030062;Mortegliano
AQ;030074;Pavia di Udine;030062;Mortegliano
AQ;014001;Albaredo per San Marco;014045;Morbegno
CE;014045;Morbegno;014001;Albaredo per San Marco
CE;030083;Premariacco;030091;Remanzacco
AQ;030083;Premariacco;030091;Remanzacco
CE;030091;Remanzacco;030083;Premariacco
AQ;030091;Remanzacco;030083;Premariacco
CE;030031;Coseano;030095;Rive d’Arcano
AQ;030031;Coseano;030095;Rive d’Arcano
CE;030095;Rive d’Arcano;030031;Coseano
AQ;030095;Rive d’Arcano;030031;Coseano
CE;016093;Endine Gaiano;016204;Sovere
AQ;016093;Endine Gaiano;016204;Sovere
CE;016204;Sovere;016093;Endine Gaiano
AQ;016204;Sovere;016093;Endine Gaiano
CE;075020;Cavallino;075038;Lizzanello
AQ;075020;Cavallino;075038;Lizzanello
CE;075038;Lizzanello;075020;Cavallino
AQ;075038;Lizzanello;075020;Cavallino
CE;050029;Pontedera;050004;Calcinaia
AQ;050004;Calcinaia;050029;Pontedera
AQ;050029;Pontedera;050004;Calcinaia
CE;100006;Vaiano;100001;Cantagallo
CE;023004;Arcole;023098;Zimella
AQ;023004;Arcole;023098;Zimella
CE;023098;Zimella;023004;Arcole
AQ;023098;Zimella;023004;Arcole
CE;030010;Bertiolo;030048;Lestizza
AQ;030010;Bertiolo;030048;Lestizza
CE;030048;Lestizza;030010;Bertiolo
AQ;030048;Lestizza;030010;Bertiolo
CD;017092;Lonato;017092;Lonato del Garda
CE ;047012;Pescia;047021;Uzzano
AQ;100001;Cantagallo;100006;Vaiano
CE;006081;Gavi;006009;Arquata Scrivia
AQ;006009;Arquata Scrivia;006081;Gavi
CD;021102;Trodena;021102;Trodena nel parco naturale
CE;018008;Barbianello;018026;Campospinoso
AQ;018026;Campospinoso;018008;Barbianello
CE;082054;Partinico;082007;Balestrate
AQ;082007;Balestrate;082054;Partinico
CE;082018;Campofiorito;082034;Corleone
AQ;082034;Corleone;082018;Campofiorito
AQ;082018;Campofiorito;082034;Corleone
CE;082034;Corleone;082018;Campofiorito
CD;022029;Caderzone;022029;Caderzone Terme
AQ;022074;Denno;022037;Campodenno
CE;022037;Campodenno;022074;Denno
CS;030138;Campolongo Tapogliano;030017;Campolongo al Torre
CS;030138;Campolongo Tapogliano;030115;Tapogliano
AQ;030138;Campolongo Tapogliano;030017;Campolongo al Torre
AQ;030138;Campolongo Tapogliano;030115;Tapogliano
ES;030017;Campolongo al Torre;030138;Campolongo Tapogliano
ES;030115;Tapogliano;030138;Campolongo Tapogliano
AQ;093016;Clauzetto;093011;Castelnovo del Friuli
CE;093011;Castelnovo del Friuli;093016;Clauzetto
AQ;078030;Castiglione Cosentino;078102;Rende
CE;078102;Rende;078030;Castiglione Cosentino
AP;015003;Agrate Brianza;108001;
AP;015004;Aicurzio;108002;
AP;015006;Albiate;108003;
AP;015008;Arcore;108004;
AP;015013;Barlassina;108005;
AP;015017;Bellusco;108006;
AP;015018;Bernareggio;108007;
AP;015021;Besana in Brianza;108008;
AP;015023;Biassono;108009;
AP;015030;Bovisio-Masciago ;108010;
AP;015033;Briosco;108011;
AP;015034;Brugherio;108012;
AP;015037;Burago di Molgora;108013;
AP;015045;Camparada;108014;
AP;015048;Carate Brianza;108015;
AP;015049;Carnate;108016;
AP;015068;Cavenago di Brianza;108017;
AP;015069;Ceriano Laghetto;108018;
AP;015075;Cesano Maderno;108019;
AP;015080;Cogliate;108020;
AP;015084;Concorezzo;108021;
AP;015092;Correzzana;108022;
AP;015100;Desio;108023;
AP;015107;Giussano;108024;
AP;015117;Lazzate ;108025;
AP;015120;Lesmo;108026;
AP;015121;Limbiate;108027;
AP;015123;Lissone;108028;
AP;015129;Macherio;108029;
AP;015138;Meda ;108030;
AP;015145;Mezzago;108031;
AP;015147;Misinto;108032;
AP;015149;Monza;108033;
AP;015152;Muggiò;108034;
AP;015156;Nova Milanese;108035;
AP;015161;Ornago;108036;
AP;015180;Renate;108037;
AP;015187;Ronco Briantino;108038;
AP;015208;Seregno;108039;
AP;015212;Seveso;108040;
AP;015216;Sovico;108041;
AP;015217;Sulbiate;108042;
AP;015223;Triuggio;108043;
AP;015227;Usmate Velate;108044;
AP;015231;Varedo;108045;
AP;015232;Vedano al Lambro;108046;
AP;015233;Veduggio con Colzano;108047;
AP;015234;Verano Brianza;108048;
AP;015239;Villasanta;108049;
AP;015241;Vimercate;108050;
AP;044003;Altidona;109001;
AP;044004;Amandola;109002;
AP;044008;Belmonte Piceno;109003;
AP;044009;Campofilone;109004;
AP;044018;Falerone;109005;
AP;044019;Fermo;109006;
AP;044022;Francavilla d'Ete;109007;
AP;044024;Grottazzolina;109008;
AP;044025;Lapedona;109009;
AP;044026;Magliano di Tenna;109010;
AP;044028;Massa Fermana;109011;
AP;044030;Monsampietro Morico;109012;
AP;044033;Montappone;109013;
AP;044035;Montefalcone Appennino;109014;
AP;044037;Montefortino;109015;
AP;044039;Monte Giberto;109016;
AP;044040;Montegiorgio;109017;
AP;044041;Montegranaro;109018;
AP;044042;Monteleone di Fermo;109019;
AP;044043;Montelparo;109020;
AP;044046;Monte Rinaldo;109021;
AP;044047;Monterubbiano;109022;
AP;044048;Monte San Pietrangeli;109023;
AP;044049;Monte Urano;109024;
AP;044050;Monte Vidon Combatte;109025;
AP;044051;Monte Vidon Corrado;109026;
AP;044052;Montottone;109027;
AP;044053;Moresco;109028;
AP;044055;Ortezzano;109029;
AP;044057;Pedaso;109030;
AP;044058;Petritoli;109031;
AP;044059;Ponzano di Fermo;109032;
AP;044060;Porto San Giorgio;109033;
AP;044061;Porto Sant'Elpidio;109034;
AP;044062;Rapagnano;109035;
AP;044067;Santa Vittoria in Matenano;109036;
AP;044068;Sant'Elpidio a Mare;109037;
AP;044069;Servigliano;109038;
AP;044070;Smerillo;109039;
AP;044072;Torre San Patrizio;109040;
AP;072005;Andria;110001;
AP;072007;Barletta;110002;
AP;072009;Bisceglie;110003;
AP;072013;Canosa di Puglia;110004;
AP;071030;Margherita di Savoia;110005;
AP;072026;Minervino Murge;110006;
AP;071045;San Ferdinando di Puglia;110007;
AP;072042;Spinazzola;110008;
AP;072045;Trani;110009;
AP;071057;Trinitapoli;110010;
CD;018122;Rivanazzano ;018122;Rivanazzano Terme
AQ;013048;Carugo;013029;Brenna
CE;013048;Carugo;013029;Brenna
AQ;013029;Brenna;013048;Carugo
CE;013029;Brenna;013048;Carugo
AP;041011;Casteldelci;099021;
AP;041024;Maiolo;099022;
AP;041039;Novafeltria;099023;
AP;041042;Pennabilli;099024;
AP;041053;San Leo;099025;
AP;041055;Sant'Agata Feltria;099026;
AP;041063;Talamello;099027;
AP;015039;Busnago;108051;
AP;015047;Caponago;108052;
AP;015088;Cornate d'Adda;108053;
AP;015119;Lentate sul Seveso;108054;
AP;015186;Roncello;108055;
CD;031003;Doberdò del Lago;031003;Doberdò del Lago-Doberdob
CD;031019;San Floriano del Collio;031019;San Floriano del Collio-Števerjan
CD;031022;Savogna d'Isonzo;031022;Savogna d'Isonzo-Sovodnje ob So?i
CD;032001;Duino-Aurisina;032001;Duino Aurisina-Devin Nabrežina
CD;032002;Monrupino;032002;Monrupino-Repentabor
CD;032005;Sgonico;032005;Sgonico-Zgonik
CS;022228;Comano Terme;022016;Bleggio Inferiore
CS;022228;Comano Terme;022107;Lomaso
AQ;022228;Comano Terme;022016;Bleggio Inferiore
AQ;022228;Comano Terme;022107;Lomaso
ES;022016;Bleggio Inferiore;022228;Comano Terme
ES;022107;Lomaso;022228;Comano Terme
CS;022229;Ledro;022065;Concei
CS;022229;Ledro;022014;Bezzecca
CS;022229;Ledro;022119;Molina di Ledro
CS;022229;Ledro;022141;Pieve di Ledro
CS;022229;Ledro;022197;Tiarno di Sopra
CS;022229;Ledro;022198;Tiarno di Sotto
AQ;022229;Ledro;022065;Concei
AQ;022229;Ledro;022014;Bezzecca
AQ;022229;Ledro;022119;Molina di Ledro
AQ;022229;Ledro;022141;Pieve di Ledro
AQ;022229;Ledro;022197;Tiarno di Sopra
AQ;022229;Ledro;022198;Tiarno di Sotto
ES;022065;Concei;022229;Ledro
ES;022014;Bezzecca;022229;Ledro
ES;022119;Molina di Ledro;022229;Ledro
ES;022141;Pieve di Ledro;022229;Ledro
ES;022197;Tiarno di Sopra;022229;Ledro
ES;022198;Tiarno di Sotto;022229;Ledro
CE;016024;Bergamo;016150;Orio al Serio
AQ;016150;Orio al Serio;016024;Bergamo
CE;042018;Falconara Marittima;042027;Montemarciano
AQ;042027;Montemarciano;042018;Falconara Marittima
CE;015185;Rodano;015237;Vignate
AQ;015237;Vignate;015185;Rodano
CS;013249;Gravedona ed Uniti;013076;Consiglio di Rumo
CS;013249;Gravedona ed Uniti;013108;Germasino
CS;013249;Gravedona ed Uniti;013112;Gravedona
AQ;013249;Gravedona ed Uniti;013076;Consiglio di Rumo
AQ;013249;Gravedona ed Uniti;013108;Germasino
AQ;013249;Gravedona ed Uniti;013112;Gravedona
ES;013076;Consiglio di Rumo;013249;Gravedona ed Uniti
ES;013108;Germasino;013249;Gravedona ed Uniti
ES;013112;Gravedona;013249;Gravedona ed Uniti
CE;095065;Terralba;095006;Arborea
AQ;095065;Terralba;095006;Arborea
CE;095006;Arborea;095065;Terralba
AQ;095006;Arborea;095065;Terralba
CE;104009;Budoni;104023;San Teodoro
AQ;104009;Budoni;104023;San Teodoro
CE;104023;San Teodoro;104009;Budoni
AQ;104023;San Teodoro;104009;Budoni
CE;104009;Budoni;091073;Posada
AQ;104009;Budoni;091073;Posada
CE;091073;Posada;104009;Budoni
AQ;091073;Posada;104009;Budoni
CE;021058;Nova Levante;021059;Nova Ponente
AQ;021059;Nova Ponente;021058;Nova Levante
CE;030070;Palmanova;030135;Visco
AQ;030135;Visco;030070;Palmanova
CE;016037;Brembate;016051;Capriate San Gervasio
AQ;016037;Brembate;016051;Capriate San Gervasio
CE;016051;Capriate San Gervasio;016037;Brembate
AQ;016051;Capriate San Gervasio;016037;Brembate
CE;082070;Termini Imerese;082073;Trabia
AQ;082070;Termini Imerese;082073;Trabia
CE;082073;Trabia;082070;Termini Imerese
AQ;082073;Trabia;082070;Termini Imerese
CE;082046;Marineo;082040;Godrano
AQ;082040;Godrano;082046;Marineo
CE;030101;San Giovanni al Natisone;030024;Chiopris-Viscone
AQ;030024;Chiopris-Viscone;030101;San Giovanni al Natisone
CE;075035;Lecce;075079;Squinzano
AQ;075035;Lecce;075079;Squinzano
CE;075079;Squinzano;075035;Lecce
AQ;075079;Squinzano;075035;Lecce
CE;075035;Lecce;075087;Trepuzzi
AQ;075035;Lecce;075087;Trepuzzi
CE;075087;Trepuzzi;075035;Lecce
AQ;075087;Trepuzzi;075035;Lecce
CE;030098;Ruda;030134;Villa Vicentina
AQ;030134;Villa Vicentina;030098;Ruda
CE;030027;Codroipo;030058;Mereto di Tomba
AQ;030027;Codroipo;030058;Mereto di Tomba
CE;030058;Mereto di Tomba;030027;Codroipo
AQ;030058;Mereto di Tomba;030027;Codroipo
CE;030058;Mereto di Tomba;030009;Basiliano
AQ;030009;Basiliano;030058;Mereto di Tomba
CE;030009;Basiliano;030027;Codroipo
AQ;030027;Codroipo;030009;Basiliano
CD;018073;Godiasco;018073;Godiasco Salice Terme
AQ;022025;Brentonico;022123;Mori
CE;022123;Mori;022025;Brentonico
CE;021011;Bressanone;021111;Varna
AQ;021111;Varna;021011;Bressanone
CS;064121;Montoro;064061;Montoro Inferiore
CS;064121;Montoro;064062;Montoro Superiore
AQ;064121;Montoro;064061;Montoro Inferiore
AQ;064121;Montoro;064062;Montoro Superiore
ES;064061;Montoro Inferiore;064121;Montoro
ES;064062;Montoro Superiore;064121;Montoro
CE;013036;Cadorago;013102;Fino Mornasco
AQ;013036;Cadorago;013102;Fino Mornasco
CE;013102;Fino Mornasco;013036;Cadorago
AQ;013102;Fino Mornasco;013036;Cadorago
CD;017189;Tremosine;017189;Tremosine sul Garda
CE;013245;Villa Guardia;013138;Lurate Caccivio
AQ;013138;Lurate Caccivio;013245;Villa Guardia
CS;025070;Quero Vas;025042;Quero
CS;025070;Quero Vas;025064;Vas
AQ;025070;Quero Vas;025042;Quero
AQ;025070;Quero Vas;025064;Vas
ES;025042;Quero;025070;Quero Vas
ES;025064;Vas;025070;Quero Vas
CS;037061;Valsamoggia;037004;Bazzano
CS;037061;Valsamoggia;037018;Castello di Serravalle
CS;037061;Valsamoggia;037023;Crespellano
CS;037061;Valsamoggia;037043;Monteveglio
CS;037061;Valsamoggia;037058;Savigno
AQ;037061;Valsamoggia;037004;Bazzano
AQ;037061;Valsamoggia;037018;Castello di Serravalle
AQ;037061;Valsamoggia;037023;Crespellano
AQ;037061;Valsamoggia;037043;Monteveglio
AQ;037061;Valsamoggia;037058;Savigno
ES;037004;Bazzano;037061;Valsamoggia
ES;037018;Castello di Serravalle;037061;Valsamoggia
ES;037023;Crespellano;037061;Valsamoggia
ES;037043;Monteveglio;037061;Valsamoggia
ES;037058;Savigno;037061;Valsamoggia
CS;030188;Rivignano Teor;030096;Rivignano
CS;030188;Rivignano Teor;030119;Teor
AQ;030188;Rivignano Teor;030096;Rivignano
AQ;030188;Rivignano Teor;030119;Teor
ES;030096;Rivignano;030188;Rivignano Teor
ES;030119;Teor;030188;Rivignano Teor
CS;048052;Figline e Incisa Valdarno;048016;Figline Valdarno
CS;048052;Figline e Incisa Valdarno;048023;Incisa in Val d'Arno
AQ;048052;Figline e Incisa Valdarno;048016;Figline Valdarno
AQ;048052;Figline e Incisa Valdarno;048023;Incisa in Val d'Arno
ES;048016;Figline Valdarno;048052;Figline e Incisa Valdarno
ES;048023;Incisa in Val d'Arno;048052;Figline e Incisa Valdarno
CS;051040;Castelfranco Piandiscò;051009;Castelfranco di Sopra
CS;051040;Castelfranco Piandiscò;051029;Pian di Scò
AQ;051040;Castelfranco Piandiscò;051009;Castelfranco di Sopra
AQ;051040;Castelfranco Piandiscò;051029;Pian di Scò
ES;051009;Castelfranco di Sopra;051040;Castelfranco Piandiscò
ES;051029;Pian di Scò;051040;Castelfranco Piandiscò
CS;042050;Trecastelli;042009;Castel Colonna
CS;042050;Trecastelli;042028;Monterado
CS;042050;Trecastelli;042039;Ripe
AQ;042050;Trecastelli;042009;Castel Colonna
AQ;042050;Trecastelli;042028;Monterado
AQ;042050;Trecastelli;042039;Ripe
ES;042009;Castel Colonna;042050;Trecastelli
ES;042028;Monterado;042050;Trecastelli
ES;042039;Ripe;042050;Trecastelli
CS;046036;Fabbriche di Vergemoli;046012;Fabbriche di Vallico
CS;046036;Fabbriche di Vergemoli;046032;Vergemoli
AQ;046036;Fabbriche di Vergemoli;046012;Fabbriche di Vallico
AQ;046036;Fabbriche di Vergemoli;046032;Vergemoli
ES;046012;Fabbriche di Vallico;046036;Fabbriche di Vergemoli
ES;046032;Vergemoli;046036;Fabbriche di Vergemoli
CS;099028;Poggio Torriana;099012;Poggio Berni
CS;099028;Poggio Torriana;099019;Torriana
AQ;099028;Poggio Torriana;099012;Poggio Berni
AQ;099028;Poggio Torriana;099019;Torriana
ES;099012;Poggio Berni;099028;Poggio Torriana
ES;099019;Torriana;099028;Poggio Torriana
CS;034049;Sissa Trecasali;034034;Sissa
CS;034049;Sissa Trecasali;034043;Trecasali
AQ;034049;Sissa Trecasali;034034;Sissa
AQ;034049;Sissa Trecasali;034043;Trecasali
ES;034034;Sissa;034049;Sissa Trecasali
ES;034043;Trecasali;034049;Sissa Trecasali
CS;038027;Fiscaglia;038026;Migliaro
CS;038027;Fiscaglia;038015;Migliarino
CS;038027;Fiscaglia;038013;Massa Fiscaglia
AQ;038027;Fiscaglia;038026;Migliaro
AQ;038027;Fiscaglia;038015;Migliarino
AQ;038027;Fiscaglia;038013;Massa Fiscaglia
ES;038026;Migliaro;038027;Fiscaglia
ES;038015;Migliarino;038027;Fiscaglia
ES;038013;Massa Fiscaglia;038027;Fiscaglia
CS;048053;Scarperia e San Piero;048042;Scarperia
CS;048053;Scarperia e San Piero;048040;San Piero a Sieve
AQ;048053;Scarperia e San Piero;048042;Scarperia
AQ;048053;Scarperia e San Piero;048040;San Piero a Sieve
ES;048042;Scarperia;048053;Scarperia e San Piero
ES;048040;San Piero a Sieve;048053;Scarperia e San Piero
CS;050040;Casciana Terme Lari;050007;Casciana Terme
CS;050040;Casciana Terme Lari;050017;Lari
AQ;050040;Casciana Terme Lari;050007;Casciana Terme
AQ;050040;Casciana Terme Lari;050017;Lari
ES;050007;Casciana Terme;050040;Casciana Terme Lari
ES;050017;Lari;050040;Casciana Terme Lari
CS;050041;Crespina Lorenzana;050013;Crespina
CS;050041;Crespina Lorenzana;050018;Lorenzana
AQ;050041;Crespina Lorenzana;050013;Crespina
AQ;050041;Crespina Lorenzana;050018;Lorenzana
ES;050013;Crespina;050041;Crespina Lorenzana
ES;050018;Lorenzana;050041;Crespina Lorenzana
CS;051041;Pratovecchio Stia;051032;Pratovecchio
CS;051041;Pratovecchio Stia;051036;Stia
AQ;051041;Pratovecchio Stia;051032;Pratovecchio
AQ;051041;Pratovecchio Stia;051036;Stia
ES;051032;Pratovecchio;051041;Pratovecchio Stia
ES;051036;Stia;051041;Pratovecchio Stia
CS;041068;Vallefoglia;041012;Colbordolo
CS;041068;Vallefoglia;041056;Sant'Angelo in Lizzola
AQ;041068;Vallefoglia;041012;Colbordolo
AQ;041068;Vallefoglia;041056;Sant'Angelo in Lizzola
ES;041012;Colbordolo;041068;Vallefoglia
ES;041056;Sant'Angelo in Lizzola;041068;Vallefoglia
CS;016252;Sant'Omobono Terme;016192;Sant'Omobono Terme
CS;016252;Sant'Omobono Terme;016228;Valsecca
AQ;016252;Sant'Omobono Terme;016192;Sant'Omobono Terme
AQ;016252;Sant'Omobono Terme;016228;Valsecca
ES;016192;Sant'Omobono Terme;016252;Sant'Omobono Terme
ES;016228;Valsecca;016252;Sant'Omobono Terme
CS;016253;Val Brembilla;016039;Brembilla
CS;016253;Val Brembilla;016112;Gerosa
AQ;016253;Val Brembilla;016039;Brembilla
AQ;016253;Val Brembilla;016112;Gerosa
ES;016039;Brembilla;016253;Val Brembilla
ES;016112;Gerosa;016253;Val Brembilla
CS;013250;Bellagio;013019;Bellagio
CS;013250;Bellagio;013070;Civenna
AQ;013250;Bellagio;013019;Bellagio
AQ;013250;Bellagio;013070;Civenna
ES;013019;Bellagio;013250;Bellagio
ES;013070;Civenna;013250;Bellagio
CS;013251;Colverde;013093;Drezzo
CS;013251;Colverde;013175;Parè
CS;013251;Colverde;013109;Gironico
AQ;013251;Colverde;013093;Drezzo
AQ;013251;Colverde;013175;Parè
AQ;013251;Colverde;013109;Gironico
ES;013093;Drezzo;013251;Colverde
ES;013175;Parè;013251;Colverde
ES;013109;Gironico;013251;Colverde
CS;097091;Verderio;097087;Verderio Inferiore
CS;097091;Verderio;097088;Verderio Superiore
AQ;097091;Verderio;097087;Verderio Inferiore
AQ;097091;Verderio;097088;Verderio Superiore
ES;097087;Verderio Inferiore;097091;Verderio
ES;097088;Verderio Superiore;097091;Verderio
CS;018191;Cornale e Bastida;018055;Cornale
CS;018191;Cornale e Bastida;018010;Bastida de' Dossi
AQ;018191;Cornale e Bastida;018055;Cornale
AQ;018191;Cornale e Bastida;018010;Bastida de' Dossi
ES;018055;Cornale;018191;Cornale e Bastida
ES;018010;Bastida de' Dossi;018191;Cornale e Bastida
CS;012142;Maccagno con Pino e Veddasca;012094;Maccagno
CS;012142;Maccagno con Pino e Veddasca;012112;Pino sulla Sponda del Lago Maggiore
CS;012142;Maccagno con Pino e Veddasca;012135;Veddasca
AQ;012142;Maccagno con Pino e Veddasca;012094;Maccagno
AQ;012142;Maccagno con Pino e Veddasca;012112;Pino sulla Sponda del Lago Maggiore
AQ;012142;Maccagno con Pino e Veddasca;012135;Veddasca
ES;012094;Maccagno;012142;Maccagno con Pino e Veddasca
ES;012112;Pino sulla Sponda del Lago Maggiore;012142;Maccagno con Pino e Veddasca
ES;012135;Veddasca;012142;Maccagno con Pino e Veddasca
CS;020071;Borgo Virgilio;020069;Virgilio
CS;020071;Borgo Virgilio;020005;Borgoforte
AQ;020071;Borgo Virgilio;020069;Virgilio
AQ;020071;Borgo Virgilio;020005;Borgoforte
ES;020069;Virgilio;020071;Borgo Virgilio
ES;020005;Borgoforte;020071;Borgo Virgilio
CS;013252;Tremezzina;013125;Lenno
CS;013252;Tremezzina;013172;Ossuccio
CS;013252;Tremezzina;013225;Tremezzo
CS;013252;Tremezzina;013148;Mezzegra
AQ;013252;Tremezzina;013125;Lenno
AQ;013252;Tremezzina;013172;Ossuccio
AQ;013252;Tremezzina;013225;Tremezzo
AQ;013252;Tremezzina;013148;Mezzegra
ES;013125;Lenno;013252;Tremezzina
ES;013172;Ossuccio;013252;Tremezzina
ES;013225;Tremezzo;013252;Tremezzina
ES;013148;Mezzegra;013252;Tremezzina
CE;030031;Coseano;030032;Dignano
AQ;030031;Coseano;030032;Dignano
CE;030032;Dignano;030031;Coseano
AQ;030032;Dignano;030031;Coseano
CE;030039;Flaibano;030031;Coseano
AQ;030039;Flaibano;030031;Coseano
CE;030031;Coseano;030039;Flaibano
AQ;030031;Coseano;030039;Flaibano
CE;030039;Flaibano;030032;Dignano
AQ;030039;Flaibano;030032;Dignano
CE;030032;Dignano;030039;Flaibano
AQ;030032;Dignano;030039;Flaibano
CE;030039;Flaibano;030109;Sedegliano
AQ;030039;Flaibano;030109;Sedegliano
CE;030109;Sedegliano;030039;Flaibano
AQ;030109;Sedegliano;030039;Flaibano
CE;030031;Coseano;030058;Mereto di Tomba
AQ;030031;Coseano;030058;Mereto di Tomba
CE;030058;Mereto di Tomba;030031;Coseano
AQ;030058;Mereto di Tomba;030031;Coseano
CD;023014;Brenzone;023014;Brenzone sul Garda
CS;025071;Longarone;025031;Longarone
CS;025071;Longarone;025009;Castellavazzo
AQ;025071;Longarone;025031;Longarone
AQ;025071;Longarone;025009;Castellavazzo
ES;025031;Longarone;025071;Longarone
ES;025009;Castellavazzo;025071;Longarone
CE;030010;Bertiolo;030048;Lestizza
AQ;030010;Bertiolo;030048;Lestizza
CE;030048;Lestizza;030010;Bertiolo
AQ;030048;Lestizza;030010;Bertiolo
CE;041013;Fano;041029;Mondolfo
AQ;041029;Mondolfo;041013;Fano
CS;022230;Predaia;022067;Coredo
CS;022230;Predaia;022175;Smarano
CS;022230;Predaia;022186;Taio
CS;022230;Predaia;022206;Tres
CS;022230;Predaia;022214;Vervò
AQ;022230;Predaia;022067;Coredo
AQ;022230;Predaia;022175;Smarano
AQ;022230;Predaia;022186;Taio
AQ;022230;Predaia;022206;Tres
AQ;022230;Predaia;022214;Vervò
ES;022067;Coredo;022230;Predaia
ES;022175;Smarano;022230;Predaia
ES;022186;Taio;022230;Predaia
ES;022206;Tres;022230;Predaia
ES;022214;Vervò;022230;Predaia
CS;022231;San Lorenzo Dorsino;022077;Dorsino
CS;022231;San Lorenzo Dorsino;022166;San Lorenzo in Banale
AQ;022231;San Lorenzo Dorsino;022077;Dorsino
AQ;022231;San Lorenzo Dorsino;022166;San Lorenzo in Banale
ES;022077;Dorsino;022231;San Lorenzo Dorsino
ES;022166;San Lorenzo in Banale;022231;San Lorenzo Dorsino
CS;022232;Valdaone;022012;Bersone
CS;022232;Valdaone;022072;Daone
CS;022232;Valdaone;022146;Praso
AQ;022232;Valdaone;022012;Bersone
AQ;022232;Valdaone;022072;Daone
AQ;022232;Valdaone;022146;Praso
ES;022012;Bersone;022232;Valdaone
ES;022072;Daone;022232;Valdaone
ES;022146;Praso;022232;Valdaone
CS;093053;Valvasone Arzene;093003;Arzene
CS;093053;Valvasone Arzene;093048;Valvasone
AQ;093053;Valvasone Arzene;093003;Arzene
AQ;093053;Valvasone Arzene;093048;Valvasone
ES;093003;Arzene;093053;Valvasone Arzene
ES;093048;Valvasone;093053;Valvasone Arzene
CS;046037;Sillano Giuncugnano;046016;Giuncugnano
CS;046037;Sillano Giuncugnano;046029;Sillano
AQ;046037;Sillano Giuncugnano;046016;Giuncugnano
AQ;046037;Sillano Giuncugnano;046029;Sillano
ES;046016;Giuncugnano;046037;Sillano Giuncugnano
ES;046029;Sillano;046037;Sillano Giuncugnano
CD;004051;Castellinaldo;004051;Castellinaldo d'Alba
CS;097092;La Valletta Brianza;097066;Perego
