Tipo variazione;Istat vecchio;Denominazione Comune;Istat nuovo;Denominazione Comune associata alla variazione o nuova denominazione
AP;013066;Cernusco Lombardone;097020;
AP;013067;Cesana Brianza;097021;
AP;013069;Civate;097022;
AP;013072;Colico;097023;
AP;013073;Colle Brianza;097024;
AP;013078;Cortenova;097025;
AP;013079;Costa Masnaga;097026;
AP;013080;Crandola Valsassina;097027;
AP;013081;Cremella;097028;
AP;013082;Cremeno;097029;
AP;013086;Dervio;097030;
AP;013088;Dolzago;097031;
AP;013091;Dorio;097032;
AP;013094;Ello;097033;
AP;013096;Esino Lario;097035;
AP;013103;Galbiate;097036;
AP;013104;Garbagnate Monastero;097037;
AP;013105;Garlate;097038;
AP;013115;Imbersago;097039;
AP;013116;Introbio;097040;
AP;013117;Introzzo;097041;
AP;013124;Lecco;097042;
AP;013127;Lierna;097043;
AP;013132;Lomagna;097044;
AP;013140;Malgrate;097045;
AP;013141;Mandello del Lario;097046;
AP;013142;Margno;097047;
AP;013146;Merate;097048;
AP;013149;Missaglia;097049;
AP;013150;Moggio;097050;
AP;013151;Molteno;097051;
AP;013156;Monticello Brianza;097054;
AP;013158;Morterone;097055;
AP;013162;Nibionno;097056;
AP;013164;Oggiono;097057;
AP;013166;Olgiate Molgora;097058;
AP;013167;Olginate;097059;
AP;013168;Oliveto Lario;097060;
AP;013171;Osnago;097061;
AP;013173;Paderno d'Adda;097062;
AP;013174;Pagnona;097063;
AP;013176;Parlasco;097064;
AP;013177;Pasturo;097065;
AP;013180;Perego;097066;
AP;013181;Perledo;097067;
AP;013182;Pescate;097068;
AP;013190;Premana;097069;
AP;013191;Primaluna;097070;
AP;013196;Robbiate;097071;
AP;013198;Rogeno;097072;
AP;013200;Rovagnate;097073;
AP;013209;Santa Maria Hoè;097074;
AP;013213;Sirone;097075;
AP;013214;Sirtori;097076;
AP;013219;Sueglio;097077;
AP;013220;Suello;097078;
AP;013221;Taceno;097079;
AP;013224;Tremenico;097081;
AP;013230;Valgreghentino;097082;
AP;013231;Valmadrera;097083;
AP;013235;Varenna;097084;
AP;013237;Vendrogno;097085;
AP;013240;Verderio Inferiore;097087;
AP;013241;Verderio Superiore;097088;
AP;013243;Vestreno;097089;
AP;013244;Viganò;097090;
AP;013247;Montevecchia;097053;
AP;015001;Abbadia Cerreto;098001;
AP;015020;Bertonico;098002;
AP;015025;Boffalora d'Adda;098003;
AP;015028;Borghetto Lodigiano;098004;
AP;015029;Borgo San Giovanni;098005;
AP;015031;Brembio;098006;
AP;015043;Camairago;098007;
AP;015052;Casaletto Lodigiano;098008;
AP;015053;Casalmaiocco;098009;
AP;015054;Casalpusterlengo;098010;
AP;015056;Caselle Landi;098011;
AP;015057;Caselle Lurani;098012;
AP;015063;Castelnuovo Bocca d'Adda;098013;
AP;015064;Castiglione d'Adda;098014;
AP;015065;Castiraga Vidardo;098015;
AP;015066;Cavacurta;098016;
AP;015067;Cavenago d'Adda;098017;
AP;015073;Cervignano d'Adda;098018;
AP;015079;Codogno;098019;
AP;015083;Comazzo;098020;
